Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.05096659721813823,0.4426522629072733,-0.018579243417624403,0.11326053917692197,-0.018254133544063023,0.10293988836850955,0.0,0.0,0.0,0.0,-0.010075351710079894,0.04521262619543004,,,-0.0034162836865040402,0.051750463094849423,-0.01975625714575041,0.05257894450240317,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.05096659721813823,0.43929939099156906,,,-0.0182541335440628,0.11049309681534976,,,0.0,0.0,-0.015515050187445867,0.0461021155652063,,,-0.01919928440813412,0.03320323806674297,-0.02018348046306573,0.04914619365295536,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05096659721813823,0.510421561234242,-0.018579243417624403,0.10882738609584539,-0.01825413354406291,0.10260685689470175,0.0,0.0,0.0,0.0,-0.012364440280907996,0.04933504414046,,,-0.014874016860319972,0.034528607346193355,-0.020845585623833374,0.05086983046788108
TEMPxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.05096659721813823,0.4426522629072733,-0.010608468288469484,0.07253428461600783,-0.010388338548120532,0.053143133241499406,0.0,0.0,0.0,0.0,-0.006330095764449373,0.04070350462580198,,,-0.0033821133317672447,0.04074274568771671,-0.024035059345766503,0.04627358630417737,0.0,6.628924803255242e-17,0.0,1.486328155318636e-16,,,-5.551115123125783e-17,7.640481612834865e-17,0.0,1.1193455377142198e-16,2.7755575615628914e-17,6.109129814470043e-17,-2.7755575615628914e-17,6.990082927523023e-17,,,,,-0.05096659721813823,0.43929939099156906,,,-0.010388338548120584,0.07024795029555829,,,-2.7755575615628914e-17,9.506742091404207e-17,-0.01405494002472724,0.030891538738050367,,,-0.015074938275817826,0.02487835401172783,-0.023602723399985877,0.03955756861220019,0.0,9.297941263396995e-17,0.0,1.5271179150173002e-16,,,5.551115123125783e-17,7.922293966965691e-17,0.0,1.0752815906806732e-16,0.0,7.125994241662956e-17,0.0,7.056448939322578e-17,0.0,5.0504362223073114e-17,0.0,6.326879529068643e-17,-0.05096659721813823,0.510421561234242,-0.010608468288469484,0.07222718178016256,-0.010388338548120324,0.06840566069273386,2.7755575615628914e-17,7.111559840199899e-17,-2.7755575615628914e-17,6.215244294133769e-17,-0.00969309315642927,0.03497076027217558,,,-0.012147193603489065,0.026687505336258258,-0.02450504225350693,0.04602567437428889
TEMPxPPFD,,,,,,,0.0,,,,0.0,4.9504903379935835e-17,0.0,3.909791787230619e-17,,,0.0,6.031558937749873e-17,-0.05096659721813823,0.4426522629072733,-0.010608468288469484,0.07253428461600783,-0.010388338548120532,0.053143133241499406,0.0,1.936755996281701e-16,0.0,7.319448483268412e-17,-0.003752973876101698,0.038742775138943926,,,0.0020994309224697527,0.04070697026934771,-0.0227469080902043,0.045628864206959927,0.0,1.4299102623347348e-16,1.734723475976807e-17,2.124897783593754e-17,,,0.0,1.7106929992628668e-16,0.0,1.4382480021670673e-16,0.0,1.352559699852045e-16,0.0,1.3160313342706015e-16,,,,,-0.05096659721813823,0.43929939099156906,,,-0.010388338548120584,0.07024795029555829,,,0.0,2.1752002305156457e-16,-0.003255523890402179,0.043468364370222584,,,-0.009164214085361388,0.03575414324135837,-0.021823947720525493,0.03945861450836538,0.0,1.7581235919837073e-16,1.734723475976807e-17,2.180521021031555e-17,,,0.0,2.048370912923296e-16,0.0,1.3167239315947637e-16,0.0,1.377046568790415e-16,0.0,1.2884513662609353e-16,0.0,1.3855729864080474e-16,0.0,1.3055982858434594e-16,-0.05096659721813823,0.510421561234242,-0.010608468288469484,0.07222718178016256,-0.010388338548120324,0.06840566069273386,0.0,1.6590289110806128e-16,0.0,1.8204384684776977e-16,0.00010381544851667535,0.0423678154225801,,,-0.0060315670320501,0.04124700755288806,-0.02208542361574582,0.04539829911915681
TEMPxH,,,,,,,0.0,,,,0.0,1.675380777820412e-16,0.0,2.1080065382815141e-16,,,0.0,1.4922693167703863e-16,-0.05096659721813823,0.4426522629072733,-0.010608468288469484,0.07253428461600783,-0.010388338548120532,0.053143133241499406,0.0,0.0,0.0,1.533173976871998e-16,-0.002101509454515871,0.039598318107047406,,,0.00030382708792842106,0.03611645935788063,-0.03128644579975537,0.056362265332471954,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.0648942953446207e-16,0.0,1.1029519542178365e-16,,,,,-0.05096659721813823,0.43929939099156906,,,-0.010388338548120584,0.07024795029555829,,,0.0,0.0,-0.013148011029882795,0.03219887026813513,,,-0.014878576774600274,0.025232861952642557,-0.03053936115174194,0.052565523527837194,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0919888248841091e-16,0.0,1.411563293367365e-16,0.0,1.0604357380977149e-16,0.0,1.1759864611755716e-16,-0.05096659721813823,0.510421561234242,-0.010608468288469484,0.07222718178016256,-0.010388338548120324,0.06840566069273386,0.0,0.0,-1.3877787807814457e-17,3.524663074310026e-17,-0.0077152466970854955,0.034934495410034294,,,-0.010970603717759944,0.026819006030904032,-0.03164900617760369,0.04881888516414773
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.04840587780606287,0.48492286359229536,0.048461116528469295,0.491069099340564,0.0,0.0,0.0,0.0,-0.08889829168195018,0.244386573914981,,,-0.033145104263258784,0.2811097295116824,0.06836501481139912,0.36940302389802177,0.0,6.628924803255242e-17,0.0,1.486328155318636e-16,,,-5.551115123125783e-17,7.640481612834865e-17,0.0,1.1193455377142198e-16,2.7755575615628914e-17,6.109129814470043e-17,-2.7755575615628914e-17,6.990082927523023e-17,,,,,0.0,0.0,,,0.048461116528469406,0.5211620833072823,,,-2.7755575615628914e-17,9.506742091404207e-17,-0.12783069807531455,0.20879910689400547,,,-0.09822390888590285,0.238117999901826,0.060277889033650285,0.3100728891957447,0.0,9.297941263396995e-17,0.0,1.5271179150173002e-16,,,5.551115123125783e-17,7.922293966965691e-17,0.0,1.0752815906806732e-16,0.0,7.125994241662956e-17,0.0,7.056448939322578e-17,0.0,5.0504362223073114e-17,0.0,6.326879529068643e-17,0.0,0.0,0.04840587780606287,0.4483935958540786,0.04846111652846907,0.4908998641009006,2.7755575615628914e-17,7.111559840199899e-17,-2.7755575615628914e-17,6.215244294133769e-17,-0.13185336190764815,0.20245260264807588,,,-0.10018537174932443,0.23756322670403085,0.057557213795753626,0.3156778904189097
RHxPPFD,,,,,,,0.0,,,,0.0,4.9504903379935835e-17,0.0,3.909791787230619e-17,,,0.0,6.031558937749873e-17,0.0,0.0,0.04840587780606287,0.48492286359229536,0.048461116528469295,0.491069099340564,0.0,1.936755996281701e-16,0.0,7.319448483268412e-17,-0.06350858093147528,0.20434270792774403,,,-0.07521205548368753,0.269034470014855,0.0629229322967923,0.37075949041302336,0.0,1.4299102623347348e-16,1.734723475976807e-17,2.124897783593754e-17,,,0.0,1.7106929992628668e-16,0.0,1.4382480021670673e-16,0.0,1.352559699852045e-16,0.0,1.3160313342706015e-16,,,,,0.0,0.0,,,0.048461116528469406,0.5211620833072823,,,0.0,2.1752002305156457e-16,-0.23822669527850038,0.25891638129134753,,,-0.214009272039842,0.3063396130869966,0.03969142887722199,0.3142290303708513,0.0,1.7581235919837073e-16,1.734723475976807e-17,2.180521021031555e-17,,,0.0,2.048370912923296e-16,0.0,1.3167239315947637e-16,0.0,1.377046568790415e-16,0.0,1.2884513662609353e-16,0.0,1.3855729864080474e-16,0.0,1.3055982858434594e-16,0.0,0.0,0.04840587780606287,0.4483935958540786,0.04846111652846907,0.4908998641009006,0.0,1.6590289110806128e-16,0.0,1.8204384684776977e-16,-0.22326783644459192,0.26740193730382644,,,-0.21818027813329754,0.3103934138274857,0.02662061025073946,0.31243216640179744
RHxH,,,,,,,0.0,,,,0.0,1.675380777820412e-16,0.0,2.1080065382815141e-16,,,0.0,1.4922693167703863e-16,0.0,0.0,0.04840587780606287,0.48492286359229536,0.048461116528469295,0.491069099340564,0.0,0.0,0.0,1.533173976871998e-16,-0.053210922372187,0.23750662464293193,,,-0.019351367918123086,0.24216265490002145,0.09469213518880071,0.49207188521619943,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.0648942953446207e-16,0.0,1.1029519542178365e-16,,,,,0.0,0.0,,,0.048461116528469406,0.5211620833072823,,,0.0,0.0,-0.1299288061965394,0.21146142082282332,,,-0.08777834308648658,0.23126819530279394,0.07636815394832197,0.4337471671415267,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0919888248841091e-16,0.0,1.411563293367365e-16,0.0,1.0604357380977149e-16,0.0,1.1759864611755716e-16,0.0,0.0,0.04840587780606287,0.4483935958540786,0.04846111652846907,0.4908998641009006,0.0,0.0,-1.3877787807814457e-17,3.524663074310026e-17,-0.1277953730531779,0.19747485994154024,,,-0.09548528445374983,0.2250630049305213,0.07151933423193113,0.4623237658163609
