,Simulation,Timestep,H,diurnal,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,DWCGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_NET,P_GROSS,DOP,DOC,g_S,g_A,g_C,DTR,DCO2C,DCO2P,DNC,DWC,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0.0,707.5,15.5625,0.0,0.93,0.03290636752586407,0.052650188041382516,0.056613105420841414,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-55.34888189149123,48.41349322242752,0.0,0.0,0.0,24.6608666350004,2.5,2.269889522157366,-1257.722831052857,0.0,0.0,0.0,-1257.722831052857,5.8203125,1.8203125,60.8984375,1125.703125,919.53125
1,1.0,707.5,15.5625,0.0,0.93,0.03290636752586407,0.052650188041382516,0.056613105420841414,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-145.45458260546883,48.41349322242752,0.0,0.0,0.0,66.59588685807206,2.5,2.4095459905907575,-3508.6011453935184,0.0,0.0,0.0,-3508.6011453935184,20.5859375,16.5859375,60.8984375,1125.703125,919.53125
2,2.0,707.5,15.5625,0.0,0.93,0.03290636752586407,0.052650188041382516,0.056613105420841414,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-71.30310505311841,48.41349322242752,0.0,0.0,0.0,31.89287336279001,2.5,2.3182763058476543,-1654.7980919088513,0.0,0.0,0.0,-1654.7980919088513,5.8203125,1.8203125,78.1640625,1125.703125,919.53125
3,3.0,707.5,15.5625,0.0,0.93,0.02843072857027103,0.045489165712433645,0.04891308141121898,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-55.34888189149123,41.82870940901125,0.0,0.0,0.0,44.86458770965246,2.5,2.3680448769381703,-1312.1097205877181,0.0,0.0,0.0,-1312.1097205877181,5.8203125,1.8203125,60.8984375,534.609375,919.53125
4,4.0,707.5,15.5625,0.0,0.93,0.03474188644448818,0.0555870183111811,0.05977098743137752,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-55.34888189149123,45.38158916811269,0.0,0.0,0.0,23.11647525654605,2.5,2.2560163942382014,-1250.0358711582335,0.0,0.0,0.0,-1250.0358711582335,5.8203125,1.8203125,60.8984375,1125.703125,816.40625
5,5.0,707.5,2.8125,0.0,0.93,0.03290636752586407,0.052650188041382516,0.056613105420841414,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-55.34888189149123,48.41349322242752,0.0,0.0,0.0,24.6608666350004,2.5,2.269889522157366,-227.29930681678138,0.0,0.0,0.0,-227.29930681678138,5.8203125,1.8203125,60.8984375,1125.703125,919.53125
6,6.0,707.5,2.8125,0.0,0.93,0.029964239541191054,0.047942783265905696,0.05155137985581257,0.625,0.0,0.0,0.0,0.0,0.0,0.9240455043838369,0.0,-71.30310505311841,39.14078790068081,0.0,0.0,0.0,54.293031766792616,2.5,2.3899512879385596,-308.30603846455705,0.0,0.0,0.0,-308.30603846455705,5.8203125,1.8203125,78.1640625,534.609375,816.40625
7,7.0,707.5,2.8125,0.0,0.93,0.029964239541191054,0.047942783265905696,0.05155137985581257,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-145.45458260546883,39.14078790068081,0.0,0.0,0.0,113.36992310456189,2.5,2.446060204127693,-643.6934493217,0.0,0.0,0.0,-643.6934493217,20.5859375,16.5859375,60.8984375,534.609375,816.40625
8,8.0,707.5,2.8125,0.0,0.93,0.03474188644448818,0.0555870183111811,0.05977098743137752,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-187.38162415471706,45.38158916811269,0.0,0.0,0.0,80.24050518745801,2.5,2.4244626318652527,-821.9152390436748,0.0,0.0,0.0,-821.9152390436748,20.5859375,16.5859375,78.1640625,1125.703125,816.40625
9,9.0,707.5,2.8125,0.0,0.93,0.02843072857027103,0.045489165712433645,0.04891308141121898,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-187.38162415471706,41.82870940901125,0.0,0.0,0.0,155.73123250397393,2.5,2.460500844864221,-834.1325263148609,0.0,0.0,0.0,-834.1325263148609,20.5859375,16.5859375,78.1640625,534.609375,919.53125
10,10.0,707.5,15.5625,0.0,0.93,0.029964239541191054,0.047942783265905696,0.05155137985581257,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-187.38162415471706,39.14078790068081,0.0,0.0,0.0,145.72391132958307,2.5,2.457834063721994,-4610.530827832533,0.0,0.0,0.0,-4610.530827832533,20.5859375,16.5859375,78.1640625,534.609375,816.40625
11,11.0,707.5,2.8125,0.0,0.93,0.029964239541191054,0.047942783265905696,0.05155137985581257,0.625,0.0,0.0,0.0,0.0,0.0,2.4283535376940146,0.0,-187.38162415471706,39.14078790068081,0.0,0.0,0.0,145.72391132958307,2.5,2.457834063721994,-833.2284628613011,0.0,0.0,0.0,-833.2284628613011,20.5859375,16.5859375,78.1640625,534.609375,816.40625
12,12.0,707.5,3.5625,0.0,0.93,0.03706912608018463,0.059310601728295415,0.06377484056805958,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-265.1549001587662,21.917120794909167,0.0,0.0,0.0,96.28891730087032,2.5,2.436733793923816,-1480.6575475911386,0.0,0.0,0.0,-1480.6575475911386,23.3203125,19.3203125,93.3984375,640.703125,369.53125
13,13.0,707.5,3.5625,0.0,0.93,0.03706912608018463,0.059310601728295415,0.06377484056805958,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-617.149688433106,21.917120794909167,0.0,0.0,0.0,224.0684143865836,2.5,2.4724145132192348,-3496.702461758414,0.0,0.0,0.0,-3496.702461758414,38.0859375,34.0859375,93.3984375,640.703125,369.53125
14,14.0,707.5,3.5625,0.0,0.93,0.03706912608018463,0.059310601728295415,0.06377484056805958,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-128.17202707429325,21.917120794909167,0.0,0.0,0.0,46.899541125401946,2.5,2.3734806061429956,-697.1493410795478,0.0,0.0,0.0,-697.1493410795478,23.3203125,19.3203125,45.6640625,640.703125,369.53125
15,15.0,707.5,3.5625,0.0,0.93,0.04070483764147263,0.06512774022635621,0.07002982820038302,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-265.1549001587662,24.066735255520694,0.0,0.0,0.0,66.4405172697809,2.5,2.409342136561839,-1464.0132738854202,0.0,0.0,0.0,-1464.0132738854202,23.3203125,19.3203125,93.3984375,1019.609375,369.53125
16,16.0,707.5,3.5625,0.0,0.6723064664623707,0.0275520653877639,0.04408330462042224,0.06557025228745082,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-265.1549001587662,11.744067871534362,0.0,0.0,0.0,51.59544406583935,2.5,2.3844005663278676,-1448.8577717506396,0.0,0.0,0.0,-1448.8577717506396,23.3203125,19.3203125,93.3984375,640.703125,266.40625
17,17.0,707.5,14.8125,0.0,0.93,0.03706912608018463,0.059310601728295415,0.06377484056805958,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-265.1549001587662,21.917120794909167,0.0,0.0,0.0,96.28891730087032,2.5,2.436733793923816,-6156.418224194735,0.0,0.0,0.0,-6156.418224194735,23.3203125,19.3203125,93.3984375,640.703125,369.53125
18,18.0,707.5,14.8125,0.0,0.8498553566494896,0.0382154746852963,0.06114475949647408,0.07194725433929616,0.625,0.0,0.0,0.0,0.0,0.0,2.8696903035699735,0.0,-128.17202707429325,16.289346084607548,0.0,0.0,0.0,21.90341163224058,2.5,2.2437648003967343,-2740.254848085642,0.0,0.0,0.0,-2740.254848085642,23.3203125,19.3203125,45.6640625,1019.609375,266.40625
19,19.0,707.5,14.8125,0.0,0.8498553566494896,0.0382154746852963,0.06114475949647408,0.07194725433929616,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-617.149688433106,16.289346084607548,0.0,0.0,0.0,104.64628429881544,2.5,2.441635231696607,-14357.924601097939,0.0,0.0,0.0,-14357.924601097939,38.0859375,34.0859375,93.3984375,1019.609375,266.40625
20,20.0,707.5,14.8125,0.0,0.6723064664623707,0.0275520653877639,0.04408330462042224,0.06557025228745082,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-298.32119462011224,11.744067871534362,0.0,0.0,0.0,58.467813270157684,2.5,2.3974304692409194,-6814.758991019444,0.0,0.0,0.0,-6814.758991019444,38.0859375,34.0859375,45.6640625,640.703125,266.40625
21,21.0,707.5,14.8125,0.0,0.93,0.04070483764147263,0.06512774022635621,0.07002982820038302,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-298.32119462011224,24.066735255520694,0.0,0.0,0.0,75.29020880884711,2.5,2.4196556983751254,-6877.934787778944,0.0,0.0,0.0,-6877.934787778944,38.0859375,34.0859375,45.6640625,1019.609375,369.53125
22,22.0,707.5,3.5625,0.0,0.8498553566494896,0.0382154746852963,0.06114475949647408,0.07194725433929616,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-298.32119462011224,16.289346084607548,0.0,0.0,0.0,50.95947809490889,2.5,2.3830254428878375,-1629.1447365803324,0.0,0.0,0.0,-1629.1447365803324,38.0859375,34.0859375,45.6640625,1019.609375,266.40625
23,23.0,707.5,14.8125,0.0,0.8498553566494896,0.0382154746852963,0.06114475949647408,0.07194725433929616,0.625,0.0,0.0,0.0,0.0,0.0,6.679222128979249,0.0,-298.32119462011224,16.289346084607548,0.0,0.0,0.0,50.95947809490889,2.5,2.3830254428878375,-6773.812325781382,0.0,0.0,0.0,-6773.812325781382,38.0859375,34.0859375,45.6640625,1019.609375,266.40625
24,24.0,707.5,9.5625,0.0,0.93,0.0362051449370643,0.057928231899302886,0.06228842139709987,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-208.95149164977155,37.33655571634756,0.0,0.0,0.0,94.58617500313062,2.5,2.435624201903119,-3130.539678808658,0.0,0.0,0.0,-3130.539678808658,32.0703125,28.0703125,44.6484375,883.203125,644.53125
25,25.0,707.5,9.5625,0.0,0.93,0.0362051449370643,0.057928231899302886,0.06228842139709987,0.625,0.0,0.0,0.0,0.0,0.0,4.09433326211993,0.0,-178.7112494958129,37.33655571634756,0.0,0.0,0.0,80.91360905154175,2.5,2.4250721786161047,-2665.876440550736,0.0,0.0,0.0,-2665.876440550736,29.3359375,25.3359375,44.6484375,883.203125,644.53125
26,26.0,707.5,9.5625,0.0,0.93,0.0362051449370643,0.057928231899302886,0.06228842139709987,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-447.1868597917162,37.33655571634756,0.0,0.0,0.0,200.73629820874143,2.5,2.4692476193717092,-6792.304286694969,0.0,0.0,0.0,-6792.304286694969,32.0703125,28.0703125,94.4140625,883.203125,644.53125
27,27.0,707.5,9.5625,0.0,0.93,0.03771895091808106,0.06035032146892969,0.06489281878379537,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-208.95149164977155,38.89766813427109,0.0,0.0,0.0,68.95735300882365,2.5,2.4125352432348253,-3100.8631379051026,0.0,0.0,0.0,-3100.8631379051026,32.0703125,28.0703125,44.6484375,1262.109375,644.53125
28,28.0,707.5,9.5625,0.0,0.93,0.03765032745187175,0.0602405239229948,0.06477475690644602,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-208.95149164977155,32.614596155183904,0.0,0.0,0.0,82.62384787250093,2.5,2.4265775672011296,-3118.9119207694107,0.0,0.0,0.0,-3118.9119207694107,32.0703125,28.0703125,44.6484375,883.203125,541.40625
29,29.0,707.5,20.8125,0.0,0.93,0.0362051449370643,0.057928231899302886,0.06228842139709987,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-208.95149164977155,37.33655571634756,0.0,0.0,0.0,94.58617500313062,2.5,2.435624201903119,-6813.527536230608,0.0,0.0,0.0,-6813.527536230608,32.0703125,28.0703125,44.6484375,883.203125,644.53125
30,30.0,707.5,20.8125,0.0,0.93,0.03917977923838088,0.06268764678140941,0.06740607180796711,0.625,0.0,0.0,0.0,0.0,0.0,4.787147114940175,0.0,-447.1868597917162,33.93948376524744,0.0,0.0,0.0,127.69106101225539,2.5,2.4519936318868187,-14679.951826519124,0.0,0.0,0.0,-14679.951826519124,32.0703125,28.0703125,94.4140625,1262.109375,541.40625
31,31.0,707.5,20.8125,0.0,0.93,0.03917977923838088,0.06268764678140941,0.06740607180796711,0.625,0.0,0.0,0.0,0.0,0.0,4.09433326211993,0.0,-178.7112494958129,33.93948376524744,0.0,0.0,0.0,51.47023573872139,2.5,2.384195428934992,-5704.400392196971,0.0,0.0,0.0,-5704.400392196971,29.3359375,25.3359375,44.6484375,1262.109375,541.40625
32,32.0,707.5,20.8125,0.0,0.93,0.03765032745187175,0.0602405239229948,0.06477475690644602,0.625,0.0,0.0,0.0,0.0,0.0,4.09433326211993,0.0,-382.46830324350003,32.614596155183904,0.0,0.0,0.0,149.98620234706812,2.5,2.459012685057402,-12591.355245624154,0.0,0.0,0.0,-12591.355245624154,29.3359375,25.3359375,94.4140625,883.203125,541.40625
