,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
0,0,29,17.1875,0.801584350980477,0.03367782197955577,0.05388451516728924,0.0672225138893731,0.625,0.5957432399143874,17.887190778429478,157.28027921521016,149.4125131860268,0.6434026991075384,1.5458905128361866,93.70874279802543,-92.16285228518925,15.4050777189983,11.267971886259499,15.081669596340001,2.5,2.1445161271088233,-2185.157325505639,13.46875,9.46875,60.617968749999996,728.125,285.890625
1,1,29,17.1875,0.801584350980477,0.03367782197955577,0.05388451516728924,0.0672225138893731,0.625,0.5957432399143874,17.887190778429478,157.28027921521016,149.4125131860268,0.6434026991075384,2.633419285408796,159.6325279485577,-156.99910866314892,15.4050777189983,11.267971886259499,25.881301313193926,2.5,2.279784586653379,-3957.204432429537,21.90625,17.90625,60.617968749999996,728.125,285.890625
2,2,29,17.1875,0.801584350980477,0.03367782197955577,0.05388451516728924,0.0672225138893731,0.625,0.5957432399143874,17.887190778429478,157.28027921521016,149.4125131860268,0.6434026991075384,1.5458905128361866,110.01064134666828,-108.4647508338321,15.4050777189983,11.267971886259499,17.740671259568916,2.5,2.191215774425205,-2627.672618800215,13.46875,9.46875,71.16328125,728.125,285.890625
3,3,29,17.1875,0.6596943782838346,0.025129309699945347,0.04020689551991256,0.060947761332314214,0.625,0.44452448221103624,13.346847578386361,117.35749563888595,111.48682118392627,0.4800864407879192,1.5458905128361866,93.70874279802543,-92.16285228518925,11.494774489497502,8.407798918587527,16.91648807124852,2.5,2.1781086272107646,-2219.3864444905207,13.46875,9.46875,60.617968749999996,484.375,285.890625
4,4,29,17.1875,0.6197878422968621,0.02624971676939556,0.041999546831032894,0.06776439285318574,0.625,0.41226795159144775,12.378345246533218,108.8415515165625,103.39687742354495,0.4452493877187636,1.5458905128361866,93.70874279802543,-92.16285228518925,10.660666222970772,7.797694336919051,10.43686040307505,2.5,2.0168843285566878,-2055.106748572157,13.46875,9.46875,60.617968749999996,728.125,253.828125
5,5,29,12.9375,0.801584350980477,0.03367782197955577,0.05388451516728924,0.0672225138893731,0.625,0.44843218422646614,13.464176331399646,118.3891556274491,112.46687356184563,0.4843067589645835,1.5458905128361866,93.70874279802543,-92.16285228518925,15.4050777189983,12.290965328536728,16.45089994687554,2.5,2.1702003589528505,-1664.527124048673,13.46875,9.46875,60.617968749999996,728.125,285.890625
6,6,29,12.9375,0.508603701699573,0.019534218195267253,0.03125474911242761,0.0614520677061243,0.625,0.23093440501815746,6.933805510670177,60.968258249768645,57.918390882356064,0.24940915741961006,1.5458905128361866,110.01064134666828,-108.4647508338321,7.9333343645529135,6.329623218593487,14.98050228381669,2.5,2.1424587864511078,-1933.9099054172777,13.46875,9.46875,71.16328125,484.375,253.828125
7,7,29,12.9375,0.508603701699573,0.019534218195267253,0.03125474911242761,0.0614520677061243,0.625,0.23093440501815746,6.933805510670177,60.968258249768645,57.918390882356064,0.24940915741961006,2.633419285408796,159.6325279485577,-156.99910866314892,7.9333343645529135,6.329623218593487,21.854578542022466,2.5,2.2433747420750487,-2931.123728502028,21.90625,17.90625,60.617968749999996,484.375,253.828125
8,8,29,12.9375,0.6197878422968621,0.02624971676939556,0.041999546831032894,0.06776439285318574,0.625,0.3103253308342898,9.317518058299552,81.92800423246707,77.82964955154112,0.335151357301033,2.633419285408796,187.40275725672018,-184.7693379713114,10.660666222970772,8.505629203288203,22.95567083244504,2.5,2.2544751406812686,-3466.653955615146,21.90625,17.90625,71.16328125,728.125,253.828125
9,9,29,12.9375,0.6596943782838346,0.025129309699945347,0.04020689551991256,0.060947761332314214,0.625,0.3346057011552163,10.046536177185368,88.33818762636143,83.91917085480996,0.36137415724763366,2.633419285408796,187.40275725672018,-184.7693379713114,11.494774489497502,9.171123787030721,37.20748547045327,2.5,2.3425989476303988,-3602.159882662872,21.90625,17.90625,71.16328125,484.375,285.890625
