,Simulation,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
0,0,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,2.481542919387587,168.66737030212505,-166.18582738273747,14.437389877129752,10.828042407847313,43.43721114297656,2.5,2.363944722709716,-4043.3008684351084,20.9375,20.9375,67.96875,440.625
1,1,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,4.488655901938403,305.0883308348758,-300.59967493293743,14.437389877129752,10.828042407847313,78.67407441059504,2.5,2.4230049736275867,-7496.310564762129,30.9375,30.9375,67.96875,440.625
2,2,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,2.481542919387587,159.3615843544216,-156.88004143503403,14.437389877129752,10.828042407847313,41.02689237069612,2.5,2.3564106082563403,-3804.7263223548944,20.9375,20.9375,64.21875,440.625
3,3,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,2.481542919387587,168.66737030212505,-166.18582738273747,15.3932008212516,11.544900615938701,42.12981955524536,2.5,2.3599591021813704,-4036.483846535781,20.9375,20.9375,67.96875,484.375
4,4,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,2.481542919387587,159.3615843544216,-156.88004143503403,15.3932008212516,11.544900615938701,39.792047578758456,2.5,2.3522180798089543,-3797.956948933683,20.9375,20.9375,64.21875,484.375
5,5,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,4.488655901938403,305.0883308348758,-300.59967493293743,15.3932008212516,11.544900615938701,76.30610878042631,2.5,2.4206914273941114,-7489.152898450738,30.9375,30.9375,67.96875,484.375
6,6,29,0.7764563367113574,0.059114737244280915,0.625,0.519746035576671,15.605374718189546,137.21649885317177,130.35240048236946,4.488655901938403,288.2558712026068,-283.7672153006684,14.437389877129752,10.828042407847313,74.31424992469834,2.5,2.418634888629038,-7063.782037250238,30.9375,30.9375,64.21875,440.625
7,7,29,0.8091171511443286,0.06048415889595569,0.625,0.5541552295650576,16.638510767690853,146.30076078930637,138.9822326081174,4.488655901938403,288.2558712026068,-283.7672153006684,15.3932008212516,11.544900615938701,72.07750813940503,2.5,2.4161945718497715,-7056.654931827413,30.9375,30.9375,64.21875,484.375
8,8,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,4.488655901938403,372.41816936395185,-367.92951346201346,12.248510153010171,9.186382614757628,105.48021645620935,2.5,2.4421190269373585,-9247.752793602252,30.9375,30.9375,82.96875,340.625
9,9,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,2.481542919387587,205.89051409293887,-203.4089711735513,12.248510153010171,9.186382614757628,58.251313836935275,2.5,2.397121566510054,-5018.395912812637,20.9375,20.9375,82.96875,340.625
10,10,29,0.6991327365750003,0.05569904459931143,0.625,0.44094636550836613,13.239414624388692,116.41284842116603,110.58942886253682,4.488655901938403,355.5857097316828,-351.0970538297444,12.248510153010171,9.186382614757628,100.6955000403832,2.5,2.439435343619109,-8814.978459573875,30.9375,30.9375,79.21875,340.625
11,11,29,0.7335339692831325,0.05724230121515927,0.625,0.47546187456175226,14.27574278371661,125.52517825969147,119.24592482597,4.488655901938403,372.41816936395185,-367.92951346201346,13.207274293382007,9.905455720036505,100.79113361987895,2.5,2.4394914182760297,-9237.802633487097,30.9375,30.9375,82.96875,384.375
