[            ST   ST_conf
TEMP  0.532039  0.293241
RH    0.134360  0.080780
CO2   0.001144  0.000816
PPFD  0.009532  0.006139
H     0.347455  0.200646,             S1   S1_conf
TEMP  0.340312  0.286131
RH    0.086133  0.122260
CO2  -0.002188  0.010614
PPFD  0.013242  0.028784
H     0.207436  0.231634,                     S2   S2_conf
(TEMP, RH)    0.215629  0.411232
(TEMP, CO2)   0.250724  0.365664
(TEMP, PPFD)  0.240951  0.390219
(TEMP, H)     0.401755  0.429607
(RH, CO2)     0.098164  0.202084
(RH, PPFD)    0.090832  0.201031
(RH, H)       0.098724  0.264813
(CO2, PPFD)  -0.003175  0.021559
(CO2, H)     -0.001237  0.023854
(PPFD, H)    -0.002352  0.048751]
