[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.704045  0.237767
H     0.220513  0.087817,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.700554  0.243693
H     0.100125  0.151125,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  1.414948e-16
(TEMP, H)    -2.775558e-17  5.911175e-17
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  1.414948e-16
(RH, H)      -2.775558e-17  5.911175e-17
(CO2, PPFD)   0.000000e+00  1.414948e-16
(CO2, H)     -2.775558e-17  5.911175e-17
(PPFD, H)     1.235272e-01  3.187059e-01]
