[            ST  ST_conf
TEMP  0.808077  0.29034
RH    0.201080  0.07637
CO2   0.000000  0.00000
PPFD  0.000000  0.00000
H     0.000000  0.00000,             S1   S1_conf
TEMP  0.818518  0.375501
RH    0.258036  0.160830
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.022529  0.409340
(TEMP, CO2)   0.005241  0.367756
(TEMP, PPFD)  0.005241  0.367756
(TEMP, H)     0.005241  0.367756
(RH, CO2)    -0.089227  0.260871
(RH, PPFD)   -0.089227  0.260871
(RH, H)      -0.089227  0.260871
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
