[            ST   ST_conf
TEMP  0.879165  0.285814
RH    0.210143  0.093344
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.813329  0.306946
RH    0.225040  0.148897
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.033260  0.390161
(TEMP, CO2)   0.024892  0.425416
(TEMP, PPFD)  0.024892  0.425416
(TEMP, H)     0.024892  0.425416
(RH, CO2)    -0.037722  0.222036
(RH, PPFD)   -0.037722  0.222036
(RH, H)      -0.037722  0.222036
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
