[            ST   ST_conf
TEMP  0.179840  0.128764
RH    0.045142  0.030309
CO2   0.051054  0.040141
PPFD  0.759958  0.330858
H     0.028699  0.020002,             S1   S1_conf
TEMP  0.109784  0.155168
RH    0.061115  0.058233
CO2  -0.007764  0.051889
PPFD  0.706662  0.494499
H     0.052170  0.063798,                     S2   S2_conf
(TEMP, RH)    0.103853  0.267983
(TEMP, CO2)   0.098671  0.246839
(TEMP, PPFD)  0.050191  0.377546
(TEMP, H)     0.092984  0.299703
(RH, CO2)    -0.015363  0.081162
(RH, PPFD)   -0.092937  0.144137
(RH, H)      -0.028682  0.073268
(CO2, PPFD)   0.104200  0.140794
(CO2, H)      0.079368  0.066592
(PPFD, H)    -0.028387  0.783327]
