[            ST   ST_conf
TEMP  0.203351  0.157852
RH    0.082412  0.058220
CO2   0.224088  0.133475
PPFD  0.359466  0.252574
H     0.062973  0.037932,             S1   S1_conf
TEMP  0.218326  0.235584
RH    0.095018  0.091815
CO2   0.165191  0.271905
PPFD  0.226777  0.144973
H     0.050460  0.064139,                     S2   S2_conf
(TEMP, RH)   -0.094213  0.254116
(TEMP, CO2)  -0.037701  0.244654
(TEMP, PPFD)  0.000859  0.272969
(TEMP, H)    -0.087277  0.256990
(RH, CO2)    -0.116740  0.255344
(RH, PPFD)   -0.019268  0.203873
(RH, H)      -0.051328  0.179516
(CO2, PPFD)   0.184024  0.611184
(CO2, H)      0.013447  0.456338
(PPFD, H)    -0.013646  0.225313]
