[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.106076  0.070328
PPFD  1.059081  0.250879
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.101951  0.127587
PPFD  1.013483  0.382773
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  3.076966e-17
(TEMP, PPFD)  0.000000  2.013310e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  3.076966e-17
(RH, PPFD)    0.000000  2.013310e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -0.023030  1.751556e-01
(CO2, H)     -0.075766  1.515300e-01
(PPFD, H)    -0.046945  4.876336e-01]
