[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.005863  0.004825
PPFD  1.027074  0.194029
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.015112  0.027383
PPFD  0.968796  0.393915
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   3.469447e-18  1.187058e-17
(TEMP, PPFD)  0.000000e+00  2.128778e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     3.469447e-18  1.187058e-17
(RH, PPFD)    0.000000e+00  2.128778e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   1.889848e-02  8.893866e-02
(CO2, H)     -1.801037e-02  8.928774e-02
(PPFD, H)     6.682314e-02  7.512753e-01]
