[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.106076  0.067870
PPFD  1.059081  0.249783
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.101951  0.127256
PPFD  1.013483  0.441570
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.387779e-17  4.469798e-17
(TEMP, PPFD)  0.000000e+00  2.122478e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -1.387779e-17  4.469798e-17
(RH, PPFD)    0.000000e+00  2.122478e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -2.302962e-02  1.804964e-01
(CO2, H)     -7.576567e-02  1.520990e-01
(PPFD, H)    -4.694546e-02  5.456722e-01]
