[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.284744  0.131314
PPFD  0.729745  0.234384
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.176300  0.240524
PPFD  0.735106  0.285550
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  6.295875e-17
(TEMP, PPFD)  0.000000  1.724234e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  6.295875e-17
(RH, PPFD)    0.000000  1.724234e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.182399  4.245277e-01
(CO2, H)      0.082877  3.508401e-01
(PPFD, H)    -0.142069  4.145545e-01]
