[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008115  0.003866
PPFD  0.679715  0.195728
H     0.394006  0.167452,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007226  0.025225
PPFD  0.639218  0.244108
H     0.378989  0.205276,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.696051e-17
(TEMP, PPFD)  0.000000e+00  6.993997e-17
(TEMP, H)    -5.551115e-17  6.477425e-17
(RH, CO2)     0.000000e+00  1.696051e-17
(RH, PPFD)    0.000000e+00  6.993997e-17
(RH, H)      -5.551115e-17  6.477425e-17
(CO2, PPFD)   1.369011e-02  5.423101e-02
(CO2, H)      1.957514e-02  5.128881e-02
(PPFD, H)     1.082401e-01  3.649882e-01]
