[            ST   ST_conf
TEMP  0.466896  0.246435
RH    0.124277  0.069760
CO2   0.000089  0.000050
PPFD  0.037143  0.031487
H     0.352208  0.194391,             S1   S1_conf
TEMP  0.306618  0.255379
RH    0.077491  0.122563
CO2  -0.000653  0.003394
PPFD  0.050511  0.071102
H     0.220884  0.215179,                     S2   S2_conf
(TEMP, RH)    0.202825  0.316202
(TEMP, CO2)   0.238087  0.288292
(TEMP, PPFD)  0.213999  0.305373
(TEMP, H)     0.383917  0.321145
(RH, CO2)     0.100235  0.187017
(RH, PPFD)    0.091922  0.188446
(RH, H)       0.101678  0.233620
(CO2, PPFD)  -0.001639  0.005359
(CO2, H)     -0.001361  0.005936
(PPFD, H)    -0.009885  0.095044]
