[            ST   ST_conf
TEMP  1.047087  0.266074
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  1.047087  0.322747
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                         S2   S2_conf
(TEMP, RH)    2.220446e-16  0.319568
(TEMP, CO2)   2.220446e-16  0.319568
(TEMP, PPFD)  2.220446e-16  0.319568
(TEMP, H)     2.220446e-16  0.319568
(RH, CO2)     0.000000e+00  0.000000
(RH, PPFD)    0.000000e+00  0.000000
(RH, H)       0.000000e+00  0.000000
(CO2, PPFD)   0.000000e+00  0.000000
(CO2, H)      0.000000e+00  0.000000
(PPFD, H)     0.000000e+00  0.000000]
