[            ST   ST_conf
TEMP  0.045088  0.097397
RH    0.009679  0.022278
CO2   0.001828  0.004752
PPFD  0.639677  0.544234
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.015597  0.145058
RH    0.007643  0.026075
CO2  -0.002250  0.012255
PPFD  0.778666  0.938238
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.138667  0.253433
(TEMP, CO2)   0.139972  0.249153
(TEMP, PPFD)  0.104223  0.311331
(TEMP, H)     0.139959  0.250002
(RH, CO2)    -0.052505  0.088813
(RH, PPFD)   -0.046542  0.084998
(RH, H)      -0.053518  0.088123
(CO2, PPFD)   0.018600  0.026410
(CO2, H)      0.014572  0.029485
(PPFD, H)    -0.217337  1.164316]
