[            ST   ST_conf
TEMP  0.240784  0.167909
RH    0.095836  0.075786
CO2   0.153885  0.088312
PPFD  0.450163  0.316323
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.228470  0.218971
RH    0.100263  0.142799
CO2   0.163066  0.261038
PPFD  0.296736  0.192602
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.071227  0.252975
(TEMP, CO2)  -0.001128  0.267640
(TEMP, PPFD)  0.086512  0.324526
(TEMP, H)    -0.056399  0.244517
(RH, CO2)    -0.079914  0.354831
(RH, PPFD)   -0.009733  0.301334
(RH, H)       0.001974  0.293051
(CO2, PPFD)  -0.020333  0.510965
(CO2, H)     -0.087466  0.432657
(PPFD, H)     0.050103  0.244620]
