[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.108043  0.062784
PPFD  1.060586  0.253678
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.097953  0.115418
PPFD  1.010648  0.383445
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  4.644837e-17
(TEMP, PPFD)  0.000000  1.020867e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  4.644837e-17
(RH, PPFD)    0.000000  1.020867e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)  -0.015544  1.652462e-01
(CO2, H)     -0.074691  1.545189e-01
(PPFD, H)    -0.048364  5.451829e-01]
