[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.015096  0.009371
PPFD  0.688514  0.339971
H     0.593698  0.205695,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.006911  0.031160
PPFD  0.464332  0.283161
H     0.486791  0.282421,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -2.081668e-17  1.557792e-17
(TEMP, PPFD)  5.551115e-17  8.678537e-17
(TEMP, H)     0.000000e+00  1.524206e-16
(RH, CO2)    -2.081668e-17  1.557792e-17
(RH, PPFD)    5.551115e-17  8.678537e-17
(RH, H)       0.000000e+00  1.524206e-16
(CO2, PPFD)   1.470468e-02  6.327210e-02
(CO2, H)     -2.101350e-02  4.265515e-02
(PPFD, H)     8.858786e-02  4.470308e-01]
