[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008058  0.004138
PPFD  0.669795  0.196185
H     0.395275  0.183648,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.006541  0.024024
PPFD  0.638409  0.303585
H     0.379003  0.230637,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -6.071532e-18  1.531753e-17
(TEMP, PPFD)  0.000000e+00  1.701899e-16
(TEMP, H)    -5.551115e-17  1.124265e-16
(RH, CO2)    -6.071532e-18  1.531753e-17
(RH, PPFD)    0.000000e+00  1.701899e-16
(RH, H)      -5.551115e-17  1.124265e-16
(CO2, PPFD)   1.543800e-02  6.059080e-02
(CO2, H)      2.092370e-02  4.823426e-02
(PPFD, H)     1.096134e-01  3.314261e-01]
