[            ST   ST_conf
TEMP  0.463952  0.268025
RH    0.125294  0.070000
CO2   0.000138  0.000074
PPFD  0.050157  0.032343
H     0.339835  0.210922,             S1   S1_conf
TEMP  0.310733  0.290377
RH    0.078421  0.135346
CO2  -0.000155  0.005110
PPFD  0.059749  0.062912
H     0.208342  0.193133,                     S2   S2_conf
(TEMP, RH)    0.187864  0.309704
(TEMP, CO2)   0.224172  0.292674
(TEMP, PPFD)  0.200181  0.355998
(TEMP, H)     0.364159  0.336570
(RH, CO2)     0.102893  0.202666
(RH, PPFD)    0.092240  0.204695
(RH, H)       0.109479  0.257784
(CO2, PPFD)  -0.003163  0.008240
(CO2, H)     -0.003181  0.008530
(PPFD, H)    -0.009393  0.087397]
