[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.013018  0.007294
PPFD  0.992187  0.271254
H     0.043880  0.020971,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037225  0.043074
PPFD  0.982409  0.333989
H     0.007773  0.071012,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   2.081668e-17  2.656929e-17
(TEMP, PPFD)  0.000000e+00  2.219521e-16
(TEMP, H)     5.204170e-18  2.495154e-17
(RH, CO2)     2.081668e-17  2.656929e-17
(RH, PPFD)    0.000000e+00  2.219521e-16
(RH, H)       5.204170e-18  2.495154e-17
(CO2, PPFD)  -4.321587e-02  8.513998e-02
(CO2, H)     -2.684211e-02  6.895914e-02
(PPFD, H)     1.631370e-02  3.536528e-01]
