[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008818  0.004421
PPFD  1.025210  0.330575
H     0.294716  0.138640,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.013290  0.027710
PPFD  0.843175  0.383866
H     0.213536  0.217856,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -3.469447e-18  1.530314e-17
(TEMP, PPFD)  0.000000e+00  1.263714e-16
(TEMP, H)     0.000000e+00  8.451478e-17
(RH, CO2)    -3.469447e-18  1.530314e-17
(RH, PPFD)    0.000000e+00  1.263714e-16
(RH, H)       0.000000e+00  8.451478e-17
(CO2, PPFD)   1.909373e-02  5.591620e-02
(CO2, H)     -1.416063e-02  5.715810e-02
(PPFD, H)     6.727010e-03  4.209860e-01]
