[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012710  0.007467
PPFD  0.817626  0.235038
H     0.298098  0.166363,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.019490  0.033474
PPFD  0.735811  0.304613
H     0.285110  0.177593,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   6.938894e-18  2.065749e-17
(TEMP, PPFD)  0.000000e+00  1.832190e-16
(TEMP, H)     0.000000e+00  7.366343e-17
(RH, CO2)     6.938894e-18  2.065749e-17
(RH, PPFD)    0.000000e+00  1.832190e-16
(RH, H)       0.000000e+00  7.366343e-17
(CO2, PPFD)   6.686450e-03  7.749647e-02
(CO2, H)      2.734148e-04  6.240132e-02
(PPFD, H)     1.232952e-01  4.601678e-01]
