[            ST   ST_conf
TEMP  0.875293  0.276398
RH    0.214958  0.099991
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.808096  0.311968
RH    0.229795  0.164615
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.032926  0.401015
(TEMP, CO2)   0.025552  0.421076
(TEMP, PPFD)  0.025552  0.421076
(TEMP, H)     0.025552  0.421076
(RH, CO2)    -0.038214  0.266317
(RH, PPFD)   -0.038214  0.266317
(RH, H)      -0.038214  0.266317
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
