[            ST   ST_conf
TEMP  0.383553  0.165790
RH    0.156106  0.091108
CO2   0.197041  0.100890
PPFD  0.672406  0.387260
H     0.026585  0.015342,             S1   S1_conf
TEMP  0.302806  0.345425
RH    0.082580  0.083162
CO2   0.227775  0.173769
PPFD  0.277871  0.211796
H     0.020183  0.073976,                     S2   S2_conf
(TEMP, RH)   -0.131990  0.388832
(TEMP, CO2)  -0.050043  0.384637
(TEMP, PPFD)  0.082500  0.551884
(TEMP, H)    -0.120307  0.362057
(RH, CO2)    -0.002299  0.249873
(RH, PPFD)   -0.036736  0.174969
(RH, H)       0.005997  0.209428
(CO2, PPFD)  -0.265549  0.243353
(CO2, H)     -0.371770  0.255410
(PPFD, H)     0.101889  0.222417]
