[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.726026  0.302763
H     0.389230  0.180448,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.641293  0.290869
H     0.376923  0.193254,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.608977e-16
(TEMP, H)     0.000000  1.266963e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.608977e-16
(RH, H)       0.000000  1.266963e-16
(CO2, PPFD)   0.000000  1.608977e-16
(CO2, H)      0.000000  1.266963e-16
(PPFD, H)    -0.049606  5.143390e-01]
