[            ST  ST_conf
TEMP  0.000000  0.00000
RH    0.000000  0.00000
CO2   0.000000  0.00000
PPFD  0.726026  0.34726
H     0.389230  0.17298,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.641293  0.318746
H     0.376923  0.194784,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  1.402513e-16
(TEMP, H)     0.000000  1.194899e-16
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  1.402513e-16
(RH, H)       0.000000  1.194899e-16
(CO2, PPFD)   0.000000  1.402513e-16
(CO2, H)      0.000000  1.194899e-16
(PPFD, H)    -0.049606  5.501727e-01]
