[            ST   ST_conf
TEMP  0.532039  0.303215
RH    0.134360  0.068621
CO2   0.001144  0.000834
PPFD  0.009532  0.006725
H     0.347455  0.198720,             S1   S1_conf
TEMP  0.340312  0.289085
RH    0.086133  0.120869
CO2  -0.002188  0.011279
PPFD  0.013242  0.033145
H     0.207436  0.204058,                     S2   S2_conf
(TEMP, RH)    0.215629  0.387985
(TEMP, CO2)   0.250724  0.336719
(TEMP, PPFD)  0.240951  0.367621
(TEMP, H)     0.401755  0.411660
(RH, CO2)     0.098164  0.213569
(RH, PPFD)    0.090832  0.214236
(RH, H)       0.098724  0.262480
(CO2, PPFD)  -0.003175  0.023658
(CO2, H)     -0.001237  0.025043
(PPFD, H)    -0.002352  0.056310]
