[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.960698  0.229723
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.961968  0.357709
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  0.000000e+00
(TEMP, PPFD)  0.000000  8.703989e-17
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  0.000000e+00
(RH, PPFD)    0.000000  8.703989e-17
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.000000  8.703989e-17
(CO2, H)      0.000000  0.000000e+00
(PPFD, H)    -0.002541  4.621243e-01]
