[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.873171  0.336315
H     0.166580  0.085391,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.875025  0.301891
H     0.063515  0.130056,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  2.122478e-16
(TEMP, H)    -1.387779e-17  4.874014e-17
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  2.122478e-16
(RH, H)      -1.387779e-17  4.874014e-17
(CO2, PPFD)   0.000000e+00  2.122478e-16
(CO2, H)     -1.387779e-17  4.874014e-17
(PPFD, H)     5.406589e-03  5.108278e-01]
