[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.675554  0.204174
H     0.408258  0.178983,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.599574  0.301781
H     0.432014  0.229350,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  0.000000e+00  1.453752e-16
(TEMP, H)     5.551115e-17  1.281706e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    0.000000e+00  1.453752e-16
(RH, H)       5.551115e-17  1.281706e-16
(CO2, PPFD)   0.000000e+00  1.453752e-16
(CO2, H)      5.551115e-17  1.281706e-16
(PPFD, H)     8.296410e-02  5.090717e-01]
