[            ST   ST_conf
TEMP  0.852025  0.239279
RH    0.238315  0.085522
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.755132  0.288096
RH    0.183400  0.154117
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.089850  0.579483
(TEMP, CO2)   0.029009  0.493256
(TEMP, PPFD)  0.029009  0.493256
(TEMP, H)     0.029009  0.493256
(RH, CO2)    -0.001512  0.213622
(RH, PPFD)   -0.001512  0.213622
(RH, H)      -0.001512  0.213622
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
