[            ST   ST_conf
TEMP  0.208452  0.112780
RH    0.047357  0.022189
CO2   0.064374  0.036962
PPFD  0.742823  0.252908
H     0.062153  0.033794,             S1   S1_conf
TEMP  0.153682  0.145635
RH    0.066731  0.075992
CO2  -0.010867  0.123681
PPFD  0.705105  0.367433
H     0.017468  0.067020,                     S2   S2_conf
(TEMP, RH)   -0.005646  0.210027
(TEMP, CO2)   0.037467  0.223271
(TEMP, PPFD)  0.104364  0.283350
(TEMP, H)     0.022375  0.237847
(RH, CO2)    -0.041151  0.107027
(RH, PPFD)   -0.076568  0.203043
(RH, H)      -0.049247  0.115830
(CO2, PPFD)   0.106250  0.301219
(CO2, H)      0.097571  0.143891
(PPFD, H)     0.006086  0.956345]
