[            ST   ST_conf
TEMP  0.463747  0.191342
RH    0.143842  0.063356
CO2   0.204153  0.118726
PPFD  0.521556  0.348244
H     0.047833  0.052197,             S1   S1_conf
TEMP  0.216033  0.153516
RH    0.086382  0.082800
CO2   0.143156  0.084541
PPFD  0.329976  0.244225
H     0.016357  0.076548,                     S2   S2_conf
(TEMP, RH)    0.092112  0.262810
(TEMP, CO2)   0.010194  0.179513
(TEMP, PPFD)  0.135738  0.429114
(TEMP, H)     0.075425  0.150688
(RH, CO2)    -0.061653  0.087155
(RH, PPFD)   -0.022536  0.136588
(RH, H)      -0.009818  0.084195
(CO2, PPFD)   0.037748  0.223161
(CO2, H)     -0.061032  0.129149
(PPFD, H)    -0.101964  0.182056]
