[            ST   ST_conf
TEMP  0.203351  0.165026
RH    0.082412  0.056659
CO2   0.224088  0.125942
PPFD  0.359466  0.255039
H     0.062973  0.036347,             S1   S1_conf
TEMP  0.218326  0.208093
RH    0.095018  0.101635
CO2   0.165191  0.275144
PPFD  0.226777  0.153273
H     0.050460  0.062895,                     S2   S2_conf
(TEMP, RH)   -0.094213  0.210275
(TEMP, CO2)  -0.037701  0.216071
(TEMP, PPFD)  0.000859  0.260628
(TEMP, H)    -0.087277  0.210366
(RH, CO2)    -0.116740  0.252735
(RH, PPFD)   -0.019268  0.215331
(RH, H)      -0.051328  0.190302
(CO2, PPFD)   0.184024  0.706792
(CO2, H)      0.013447  0.526547
(PPFD, H)    -0.013646  0.197476]
