[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.011636  0.006799
PPFD  0.678551  0.280877
H     0.392170  0.166926,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.006952  0.039634
PPFD  0.593509  0.272771
H     0.334806  0.209830,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   1.734723e-18  2.118028e-17
(TEMP, PPFD)  0.000000e+00  1.308708e-16
(TEMP, H)     0.000000e+00  1.066507e-16
(RH, CO2)     1.734723e-18  2.118028e-17
(RH, PPFD)    0.000000e+00  1.308708e-16
(RH, H)       0.000000e+00  1.066507e-16
(CO2, PPFD)  -2.222838e-02  7.652547e-02
(CO2, H)      9.675820e-03  6.738156e-02
(PPFD, H)     6.978694e-02  4.539844e-01]
