[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008115  0.003857
PPFD  0.679715  0.204292
H     0.394006  0.151650,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007226  0.020625
PPFD  0.639218  0.324643
H     0.378989  0.226427,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   1.734723e-18  1.391993e-17
(TEMP, PPFD)  0.000000e+00  1.701196e-16
(TEMP, H)     0.000000e+00  8.987844e-17
(RH, CO2)     1.734723e-18  1.391993e-17
(RH, PPFD)    0.000000e+00  1.701196e-16
(RH, H)       0.000000e+00  8.987844e-17
(CO2, PPFD)   1.369011e-02  5.037545e-02
(CO2, H)      1.957514e-02  4.507146e-02
(PPFD, H)     1.082401e-01  3.975949e-01]
