[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008115  0.004089
PPFD  0.679715  0.211719
H     0.394006  0.169702,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007226  0.025901
PPFD  0.639218  0.306386
H     0.378989  0.226081,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.573926e-17
(TEMP, PPFD)  0.000000e+00  9.342055e-17
(TEMP, H)    -5.551115e-17  7.511457e-17
(RH, CO2)     0.000000e+00  1.573926e-17
(RH, PPFD)    0.000000e+00  9.342055e-17
(RH, H)      -5.551115e-17  7.511457e-17
(CO2, PPFD)   1.369011e-02  5.816089e-02
(CO2, H)      1.957514e-02  5.641003e-02
(PPFD, H)     1.082401e-01  4.580681e-01]
