[            ST   ST_conf
TEMP  0.466896  0.276359
RH    0.124277  0.068935
CO2   0.000089  0.000054
PPFD  0.037143  0.035442
H     0.352208  0.174475,             S1   S1_conf
TEMP  0.306618  0.262816
RH    0.077491  0.158707
CO2  -0.000653  0.004106
PPFD  0.050511  0.072225
H     0.220884  0.217080,                     S2   S2_conf
(TEMP, RH)    0.202825  0.337695
(TEMP, CO2)   0.238087  0.309545
(TEMP, PPFD)  0.213999  0.334813
(TEMP, H)     0.383917  0.404766
(RH, CO2)     0.100235  0.255708
(RH, PPFD)    0.091922  0.256327
(RH, H)       0.101678  0.323618
(CO2, PPFD)  -0.001639  0.006016
(CO2, H)     -0.001361  0.007155
(PPFD, H)    -0.009885  0.089652]
