[            ST   ST_conf
TEMP  0.808077  0.252135
RH    0.201080  0.099961
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.818518  0.340240
RH    0.258036  0.158405
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2  S2_conf
(TEMP, RH)   -0.022529  0.39703
(TEMP, CO2)   0.005241  0.36126
(TEMP, PPFD)  0.005241  0.36126
(TEMP, H)     0.005241  0.36126
(RH, CO2)    -0.089227  0.26132
(RH, PPFD)   -0.089227  0.26132
(RH, H)      -0.089227  0.26132
(CO2, PPFD)   0.000000  0.00000
(CO2, H)      0.000000  0.00000
(PPFD, H)     0.000000  0.00000]
