[            ST   ST_conf
TEMP  0.040508  0.050698
RH    0.007158  0.006373
CO2   0.002256  0.002498
PPFD  1.007011  0.295146
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.035201  0.051755
RH    0.039700  0.064572
CO2   0.002359  0.031386
PPFD  0.955577  0.606824
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.026876  0.055602
(TEMP, CO2)  -0.025793  0.059646
(TEMP, PPFD)  0.044345  0.136734
(TEMP, H)    -0.028704  0.059208
(RH, CO2)    -0.039226  0.065123
(RH, PPFD)   -0.017130  0.086482
(RH, H)      -0.039139  0.064939
(CO2, PPFD)  -0.011241  0.048106
(CO2, H)      0.000112  0.030470
(PPFD, H)    -0.025842  1.405036]
