[            ST   ST_conf
TEMP  0.040508  0.056558
RH    0.007158  0.009087
CO2   0.002256  0.003362
PPFD  1.007011  0.282620
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.035201  0.058004
RH    0.039700  0.063989
CO2   0.002359  0.032226
PPFD  0.955577  0.611429
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.026876  0.055868
(TEMP, CO2)  -0.025793  0.058481
(TEMP, PPFD)  0.044345  0.137371
(TEMP, H)    -0.028704  0.057856
(RH, CO2)    -0.039226  0.066836
(RH, PPFD)   -0.017130  0.082045
(RH, H)      -0.039139  0.067014
(CO2, PPFD)  -0.011241  0.049192
(CO2, H)      0.000112  0.029643
(PPFD, H)    -0.025842  1.386967]
