[            ST   ST_conf
TEMP  0.477325  0.169850
RH    0.138420  0.064427
CO2   0.127874  0.080417
PPFD  0.557528  0.322054
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.249109  0.214870
RH    0.088189  0.089247
CO2   0.102482  0.080491
PPFD  0.419093  0.265706
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.091256  0.345948
(TEMP, CO2)   0.016685  0.268536
(TEMP, PPFD)  0.082654  0.342377
(TEMP, H)     0.066193  0.286151
(RH, CO2)    -0.059134  0.085461
(RH, PPFD)   -0.028930  0.107603
(RH, H)      -0.006096  0.089623
(CO2, PPFD)   0.018566  0.185159
(CO2, H)     -0.056446  0.163417
(PPFD, H)    -0.075782  0.171062]
