[            ST   ST_conf
TEMP  0.477325  0.157278
RH    0.138420  0.060730
CO2   0.127874  0.084788
PPFD  0.557528  0.253475
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.249109  0.210505
RH    0.088189  0.079845
CO2   0.102482  0.062515
PPFD  0.419093  0.250778
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.091256  0.318109
(TEMP, CO2)   0.016685  0.253782
(TEMP, PPFD)  0.082654  0.327896
(TEMP, H)     0.066193  0.257597
(RH, CO2)    -0.059134  0.088275
(RH, PPFD)   -0.028930  0.117515
(RH, H)      -0.006096  0.095883
(CO2, PPFD)   0.018566  0.130819
(CO2, H)     -0.056446  0.108096
(PPFD, H)    -0.075782  0.180501]
