[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.066163  0.048180
PPFD  0.922246  0.228606
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012451  0.079568
PPFD  0.908748  0.415479
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -6.938894e-18  2.141041e-17
(TEMP, PPFD)  0.000000e+00  1.887512e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -6.938894e-18  2.141041e-17
(RH, PPFD)    0.000000e+00  1.887512e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   6.552679e-02  1.176334e-01
(CO2, H)      5.388457e-02  9.150924e-02
(PPFD, H)     1.652755e-02  7.355346e-01]
