[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037229  0.037431
PPFD  0.883903  0.285622
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.037356  0.042834
PPFD  0.922845  0.457961
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   6.938894e-18  2.604451e-17
(TEMP, PPFD)  0.000000e+00  2.023853e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)     6.938894e-18  2.604451e-17
(RH, PPFD)    0.000000e+00  2.023853e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)  -9.778768e-03  9.730677e-02
(CO2, H)      3.528385e-02  1.069002e-01
(PPFD, H)    -9.483289e-03  6.630329e-01]
