[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.018147  0.016564
PPFD  1.012928  0.265961
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.009262  0.039455
PPFD  0.976926  0.375026
H     0.000000  0.000000,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.214306e-17  1.246960e-17
(TEMP, PPFD)  0.000000e+00  1.172626e-16
(TEMP, H)     0.000000e+00  0.000000e+00
(RH, CO2)    -1.214306e-17  1.246960e-17
(RH, PPFD)    0.000000e+00  1.172626e-16
(RH, H)       0.000000e+00  0.000000e+00
(CO2, PPFD)   2.113388e-03  5.469908e-02
(CO2, H)     -2.114765e-02  5.018640e-02
(PPFD, H)     1.861068e-02  6.633797e-01]
