[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.278991  0.124753
PPFD  0.621877  0.215288
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.158452  0.180781
PPFD  0.638537  0.278547
H     0.000000  0.000000,                     S2       S2_conf
(TEMP, RH)    0.000000  0.000000e+00
(TEMP, CO2)   0.000000  7.449815e-17
(TEMP, PPFD)  0.000000  1.720068e-16
(TEMP, H)     0.000000  0.000000e+00
(RH, CO2)     0.000000  7.449815e-17
(RH, PPFD)    0.000000  1.720068e-16
(RH, H)       0.000000  0.000000e+00
(CO2, PPFD)   0.193975  3.466132e-01
(CO2, H)      0.107080  2.536775e-01
(PPFD, H)    -0.116150  4.154458e-01]
