[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.011385  0.005909
PPFD  0.698247  0.281080
H     0.371306  0.151356,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.007328  0.036845
PPFD  0.609685  0.303906
H     0.320859  0.209462,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -1.734723e-18  1.493008e-17
(TEMP, PPFD)  1.110223e-16  1.256539e-16
(TEMP, H)     0.000000e+00  1.186016e-16
(RH, CO2)    -1.734723e-18  1.493008e-17
(RH, PPFD)    1.110223e-16  1.256539e-16
(RH, H)       0.000000e+00  1.186016e-16
(CO2, PPFD)  -2.252928e-02  7.150711e-02
(CO2, H)      9.441461e-03  6.199951e-02
(PPFD, H)     4.772397e-02  4.241565e-01]
