[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.008058  0.003549
PPFD  0.669795  0.208262
H     0.395275  0.165833,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.006541  0.024147
PPFD  0.638409  0.306966
H     0.379003  0.216053,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)  -6.071532e-18  1.698133e-17
(TEMP, PPFD)  0.000000e+00  2.078072e-16
(TEMP, H)    -5.551115e-17  1.025775e-16
(RH, CO2)    -6.071532e-18  1.698133e-17
(RH, PPFD)    0.000000e+00  2.078072e-16
(RH, H)      -5.551115e-17  1.025775e-16
(CO2, PPFD)   1.543800e-02  5.320556e-02
(CO2, H)      2.092370e-02  4.707025e-02
(PPFD, H)     1.096134e-01  3.963177e-01]
