[            ST   ST_conf
TEMP  0.463952  0.228038
RH    0.125294  0.083943
CO2   0.000138  0.000078
PPFD  0.050157  0.050199
H     0.339835  0.186410,             S1   S1_conf
TEMP  0.310733  0.246530
RH    0.078421  0.128639
CO2  -0.000155  0.004694
PPFD  0.059749  0.085267
H     0.208342  0.188689,                     S2   S2_conf
(TEMP, RH)    0.187864  0.298183
(TEMP, CO2)   0.224172  0.269376
(TEMP, PPFD)  0.200181  0.305418
(TEMP, H)     0.364159  0.289091
(RH, CO2)     0.102893  0.189666
(RH, PPFD)    0.092240  0.188555
(RH, H)       0.109479  0.250970
(CO2, PPFD)  -0.003163  0.007483
(CO2, H)     -0.003181  0.008149
(PPFD, H)    -0.009393  0.101926]
