[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.012710  0.007528
PPFD  0.817638  0.184799
H     0.298092  0.151654,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.019492  0.034663
PPFD  0.735815  0.307409
H     0.285104  0.178138,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  1.504597e-17
(TEMP, PPFD)  0.000000e+00  1.820701e-16
(TEMP, H)    -5.551115e-17  9.313654e-17
(RH, CO2)     0.000000e+00  1.504597e-17
(RH, PPFD)    0.000000e+00  1.820701e-16
(RH, H)      -5.551115e-17  9.313654e-17
(CO2, PPFD)   6.684257e-03  7.958122e-02
(CO2, H)      2.690637e-04  6.288181e-02
(PPFD, H)     1.232965e-01  4.230093e-01]
