[            ST   ST_conf
TEMP  0.811629  0.268151
RH    0.196969  0.086837
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,             S1   S1_conf
TEMP  0.822147  0.344439
RH    0.253650  0.176072
CO2   0.000000  0.000000
PPFD  0.000000  0.000000
H     0.000000  0.000000,                     S2   S2_conf
(TEMP, RH)   -0.022672  0.437991
(TEMP, CO2)   0.005106  0.394734
(TEMP, PPFD)  0.005106  0.394734
(TEMP, H)     0.005106  0.394734
(RH, CO2)    -0.088655  0.277447
(RH, PPFD)   -0.088655  0.277447
(RH, H)      -0.088655  0.277447
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
