[            ST   ST_conf
TEMP  0.046544  0.050599
RH    0.008146  0.005175
CO2   0.003006  0.002860
PPFD  0.994094  0.265988
H     0.003622  0.003550,             S1   S1_conf
TEMP  0.035477  0.045122
RH    0.037546  0.063572
CO2   0.005268  0.030782
PPFD  0.932261  0.492090
H    -0.003832  0.013799,                     S2   S2_conf
(TEMP, RH)   -0.019485  0.054123
(TEMP, CO2)  -0.018864  0.058534
(TEMP, PPFD)  0.043642  0.136512
(TEMP, H)    -0.018424  0.058402
(RH, CO2)    -0.034941  0.072453
(RH, PPFD)   -0.012825  0.081146
(RH, H)      -0.035167  0.072095
(CO2, PPFD)  -0.011474  0.041153
(CO2, H)     -0.002713  0.031484
(PPFD, H)     0.010028  1.230902]
