[            ST   ST_conf
TEMP  0.046544  0.052907
RH    0.008146  0.005532
CO2   0.003006  0.002569
PPFD  0.994094  0.275361
H     0.003622  0.004145,             S1   S1_conf
TEMP  0.035477  0.049109
RH    0.037546  0.061148
CO2   0.005268  0.032638
PPFD  0.932261  0.500922
H    -0.003832  0.014505,                     S2   S2_conf
(TEMP, RH)   -0.019485  0.069721
(TEMP, CO2)  -0.018864  0.073401
(TEMP, PPFD)  0.043642  0.109666
(TEMP, H)    -0.018424  0.071978
(RH, CO2)    -0.034941  0.066705
(RH, PPFD)   -0.012825  0.076524
(RH, H)      -0.035167  0.066716
(CO2, PPFD)  -0.011474  0.044181
(CO2, H)     -0.002713  0.031221
(PPFD, H)     0.010028  1.200859]
