[            ST   ST_conf
TEMP  0.475251  0.166492
RH    0.140948  0.060243
CO2   0.128024  0.077309
PPFD  0.580979  0.306576
H     0.013346  0.011571,             S1   S1_conf
TEMP  0.239779  0.191662
RH    0.087846  0.091729
CO2   0.105612  0.079137
PPFD  0.422539  0.286819
H     0.004591  0.040206,                     S2   S2_conf
(TEMP, RH)    0.093341  0.297868
(TEMP, CO2)   0.026372  0.233976
(TEMP, PPFD)  0.106996  0.332497
(TEMP, H)     0.068490  0.240542
(RH, CO2)    -0.054786  0.093872
(RH, PPFD)   -0.021701  0.128076
(RH, H)      -0.001978  0.094967
(CO2, PPFD)   0.011119  0.142398
(CO2, H)     -0.066342  0.128948
(PPFD, H)    -0.088065  0.169254]
