[            ST   ST_conf
TEMP  0.236476  0.176405
RH    0.088897  0.054478
CO2   0.152936  0.088734
PPFD  0.428091  0.286480
H     0.017313  0.008649,             S1   S1_conf
TEMP  0.250475  0.245697
RH    0.109484  0.115929
CO2   0.143409  0.247400
PPFD  0.286707  0.187669
H     0.020507  0.037382,                     S2   S2_conf
(TEMP, RH)   -0.095443  0.272295
(TEMP, CO2)  -0.037667  0.263139
(TEMP, PPFD)  0.029396  0.307265
(TEMP, H)    -0.088613  0.265000
(RH, CO2)    -0.108224  0.281703
(RH, PPFD)   -0.025803  0.249727
(RH, H)      -0.043392  0.230983
(CO2, PPFD)   0.018837  0.521561
(CO2, H)     -0.059768  0.437986
(PPFD, H)     0.035454  0.207849]
