Index,AMI_A_S2,AMI_A_S2_conf,AMI_CQY_S2,AMI_CQY_S2_conf,AMI_CUE_24_S2,AMI_CUE_24_S2_conf,AMI_ALPHA_S2,AMI_ALPHA_S2_conf,AMI_BETA_S2,AMI_BETA_S2_conf,AMI_DCG_S2,AMI_DCG_S2_conf,AMI_CGR_S2,AMI_CGR_S2_conf,AMI_TCB_S2,AMI_TCB_S2_conf,AMI_TEB_S2,AMI_TEB_S2_conf,AMI_VP_SAT_S2,AMI_VP_SAT_S2_conf,AMI_VP_AIR_S2,AMI_VP_AIR_S2_conf,AMI_VPD_S2,AMI_VPD_S2_conf,AMI_P_GROSS_S2,AMI_P_GROSS_S2_conf,AMI_P_NET_S2,AMI_P_NET_S2_conf,AMI_g_S_S2,AMI_g_S_S2_conf,AMI_g_A_S2,AMI_g_A_S2_conf,AMI_g_C_S2,AMI_g_C_S2_conf,AMI_DTR_S2,AMI_DTR_S2_conf,BOS_A_S2,BOS_A_S2_conf,BOS_CQY_S2,BOS_CQY_S2_conf,BOS_CUE_24_S2,BOS_CUE_24_S2_conf,BOS_ALPHA_S2,BOS_ALPHA_S2_conf,BOS_BETA_S2,BOS_BETA_S2_conf,BOS_DCG_S2,BOS_DCG_S2_conf,BOS_CGR_S2,BOS_CGR_S2_conf,BOS_TCB_S2,BOS_TCB_S2_conf,BOS_TEB_S2,BOS_TEB_S2_conf,BOS_VP_SAT_S2,BOS_VP_SAT_S2_conf,BOS_VP_AIR_S2,BOS_VP_AIR_S2_conf,BOS_VPD_S2,BOS_VPD_S2_conf,BOS_P_GROSS_S2,BOS_P_GROSS_S2_conf,BOS_P_NET_S2,BOS_P_NET_S2_conf,BOS_g_S_S2,BOS_g_S_S2_conf,BOS_g_A_S2,BOS_g_A_S2_conf,BOS_g_C_S2,BOS_g_C_S2_conf,BOS_DTR_S2,BOS_DTR_S2_conf,CAV_A_S2,CAV_A_S2_conf,CAV_CQY_S2,CAV_CQY_S2_conf,CAV_CUE_24_S2,CAV_CUE_24_S2_conf,CAV_ALPHA_S2,CAV_ALPHA_S2_conf,CAV_BETA_S2,CAV_BETA_S2_conf,CAV_DCG_S2,CAV_DCG_S2_conf,CAV_CGR_S2,CAV_CGR_S2_conf,CAV_TCB_S2,CAV_TCB_S2_conf,CAV_TEB_S2,CAV_TEB_S2_conf,CAV_VP_SAT_S2,CAV_VP_SAT_S2_conf,CAV_VP_AIR_S2,CAV_VP_AIR_S2_conf,CAV_VPD_S2,CAV_VPD_S2_conf,CAV_P_GROSS_S2,CAV_P_GROSS_S2_conf,CAV_P_NET_S2,CAV_P_NET_S2_conf,CAV_g_S_S2,CAV_g_S_S2_conf,CAV_g_A_S2,CAV_g_A_S2_conf,CAV_g_C_S2,CAV_g_C_S2_conf,CAV_DTR_S2,CAV_DTR_S2_conf
TEMPxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPxRH,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.009417532616556978,0.5379068698578942,0.08985046897480828,0.5829946637084038,0.09133706938635619,0.5914049990580678,0.0,0.0,0.0,0.0,0.09211160474138086,0.34297024166400275,,,-0.005646183454520656,0.2470074205632081,-0.10552391234196408,0.4689739222627683,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.009417532616556978,0.48128533010526847,,,0.09133706938635613,0.5489410452889938,,,0.0,0.0,0.09125643619305997,0.34594813105170824,,,-0.026876260687329227,0.05391388287580474,-0.08952406393671218,0.40831979915623423,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009417532616556978,0.5088578952696092,0.08985046897480828,0.5697762782779129,0.0913370693863558,0.5184842809325498,0.0,0.0,0.0,0.0,0.09334121714116522,0.2978677515542243,,,-0.019484713302820186,0.06004713411596803,-0.06827818658587731,0.43220304549491123
TEMPxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.009417532616556978,0.5379068698578942,0.029009113503541517,0.49971759356048007,0.0290595174670365,0.4884063629272986,0.0,0.0,0.0,0.0,0.0101942021300509,0.23104952081827157,,,0.037467398076913204,0.26813217330782096,-0.14874827094704932,0.43900489729316566,0.0,1.072115918307454e-17,2.7755575615628914e-17,7.482283809952967e-17,,,3.469446951953614e-18,2.707947678311866e-17,6.938893903907228e-18,2.323751698111689e-17,-1.734723475976807e-18,1.4828086701350327e-17,1.734723475976807e-18,2.118027625654775e-17,,,,,0.009417532616556978,0.48128533010526847,,,0.0290595174670365,0.5047257431701876,,,-1.214306433183765e-17,2.050980203824222e-17,0.01668486386588143,0.26853614116149516,,,-0.0257932576757387,0.056664080716191105,-0.13425642559640324,0.39557662664099447,-1.214306433183765e-17,1.3823215565985403e-17,0.0,8.754613345779573e-17,,,-6.938893903907228e-18,2.1552878675694276e-17,1.734723475976807e-18,2.3073013453858197e-17,-1.734723475976807e-18,1.4930076386877245e-17,1.734723475976807e-18,1.62736701400473e-17,6.938893903907228e-18,1.526885601053099e-17,-3.469446951953614e-18,2.0032964062841322e-17,0.009417532616556978,0.5088578952696092,0.029009113503541517,0.4790543726854725,0.02905951746703661,0.48857971058154576,-6.938893903907228e-18,2.5186455151622474e-17,-1.0408340855860843e-17,1.9177198991484156e-17,0.02637190925128792,0.23397611132695245,,,-0.018863749077512593,0.0652243742087625,-0.11572517941647072,0.38953580938076854
TEMPxPPFD,,,,,,,0.0,,,,0.0,1.6461863969196325e-16,0.0,1.6089765253523459e-16,,,1.1102230246251565e-16,1.2549317372121855e-16,0.009417532616556978,0.5379068698578942,0.029009113503541517,0.49971759356048007,0.0290595174670365,0.4884063629272986,0.0,8.70398857228973e-17,0.0,1.519267971412356e-16,0.13573784592935823,0.5466546249169849,,,0.10436387449721318,0.3072063530316955,-0.1596341822913665,0.4396306678940729,-1.1102230246251565e-16,1.19464847468696e-16,0.0,1.5127611027846844e-16,,,0.0,1.8534722958155674e-16,-1.1102230246251565e-16,1.9190490980522307e-16,-1.1102230246251565e-16,1.2829061641895426e-16,0.0,1.3087083821523745e-16,,,,,0.009417532616556978,0.48128533010526847,,,0.0290595174670365,0.5047257431701876,,,0.0,2.2362662571861497e-16,0.08265418144974201,0.34237678735124827,,,0.044344504406702345,0.13533104445495917,-0.14686977054267972,0.4021219463878226,0.0,1.200041047244577e-16,0.0,1.624654747581324e-16,,,0.0,2.413495752075678e-16,0.0,1.114008446851055e-16,1.1102230246251565e-16,1.2565385570585918e-16,0.0,8.826758931409284e-17,0.0,1.2503499372203192e-16,0.0,1.7339154319789177e-16,0.009417532616556978,0.5088578952696092,0.029009113503541517,0.4790543726854725,0.02905951746703661,0.48857971058154576,-1.1102230246251565e-16,2.873085417782805e-16,-2.220446049250313e-16,2.408735009538464e-16,0.10699595986926869,0.33249739846049403,,,0.04364159942129153,0.12843300125745513,-0.13532018686442598,0.4033722746179671
TEMPxH,,,,,,,0.0,,,,-5.551115123125783e-17,1.073324277957655e-16,0.0,1.2669627060505747e-16,,,5.551115123125783e-17,1.2244531676038502e-16,0.009417532616556978,0.5379068698578942,0.029009113503541517,0.49971759356048007,0.0290595174670365,0.4884063629272986,0.0,0.0,0.0,3.861747096629412e-17,0.07542470493328653,0.21615348352941738,,,0.02237474194653607,0.2871406784302448,-0.13151140728342398,0.4958296702909887,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8.374405611253276e-17,0.0,1.0665071456088917e-16,,,,,0.009417532616556978,0.48128533010526847,,,0.0290595174670365,0.5047257431701876,,,0.0,0.0,0.06619302988555428,0.28615106661871875,,,-0.028704036022549204,0.05697172004983884,-0.11030128239236345,0.44692774648487604,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.1860164175252424e-16,0.0,1.2256335724347045e-16,0.0,5.442241884775545e-17,0.0,5.1063131510800227e-17,0.009417532616556978,0.5088578952696092,0.029009113503541517,0.4790543726854725,0.02905951746703661,0.48857971058154576,0.0,0.0,-8.673617379884035e-18,3.03517072357984e-17,0.06848953790149953,0.2405423732506634,,,-0.01842374759306897,0.06321167620209342,-0.08703099700011449,0.4178432724837186
RHxTEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHxCO2,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,-0.0015117616173976611,0.20286685978247648,-0.001121562776720958,0.2267423435411982,0.0,0.0,0.0,0.0,-0.0616530298280171,0.08487186878557211,,,-0.04115093246836979,0.11410314392269064,-0.001598426096345429,0.19163112766296264,0.0,1.072115918307454e-17,2.7755575615628914e-17,7.482283809952967e-17,,,3.469446951953614e-18,2.707947678311866e-17,6.938893903907228e-18,2.323751698111689e-17,-1.734723475976807e-18,1.4828086701350327e-17,1.734723475976807e-18,2.118027625654775e-17,,,,,0.0,0.0,,,-0.001121562776720958,0.15832713327769604,,,-1.214306433183765e-17,2.050980203824222e-17,-0.05913362249785689,0.0854611798709386,,,-0.039225835995458085,0.06510447078679814,0.0057746655035667655,0.17590303952794561,-1.214306433183765e-17,1.3823215565985403e-17,0.0,8.754613345779573e-17,,,-6.938893903907228e-18,2.1552878675694276e-17,1.734723475976807e-18,2.3073013453858197e-17,-1.734723475976807e-18,1.4930076386877245e-17,1.734723475976807e-18,1.62736701400473e-17,6.938893903907228e-18,1.526885601053099e-17,-3.469446951953614e-18,2.0032964062841322e-17,0.0,0.0,-0.0015117616173976611,0.20722672870071776,-0.0011215627767209857,0.20195031496569466,-6.938893903907228e-18,2.5186455151622474e-17,-1.0408340855860843e-17,1.9177198991484156e-17,-0.05478563049728481,0.09387226439212282,,,-0.03494113764313424,0.06536279769538852,0.012672455597091476,0.1628921952975734
RHxPPFD,,,,,,,0.0,,,,0.0,1.6461863969196325e-16,0.0,1.6089765253523459e-16,,,1.1102230246251565e-16,1.2549317372121855e-16,0.0,0.0,-0.0015117616173976611,0.20286685978247648,-0.001121562776720958,0.2267423435411982,0.0,8.70398857228973e-17,0.0,1.519267971412356e-16,-0.022535910398891357,0.13797495436374446,,,-0.07656811451872703,0.2002392472151779,-0.0007124951027119852,0.19726316250165424,-1.1102230246251565e-16,1.19464847468696e-16,0.0,1.5127611027846844e-16,,,0.0,1.8534722958155674e-16,-1.1102230246251565e-16,1.9190490980522307e-16,-1.1102230246251565e-16,1.2829061641895426e-16,0.0,1.3087083821523745e-16,,,,,0.0,0.0,,,-0.001121562776720958,0.15832713327769604,,,0.0,2.2362662571861497e-16,-0.028930233909007175,0.10760274904213413,,,-0.01712982752072567,0.0801645355330115,0.018713000847381943,0.17734406544280834,0.0,1.200041047244577e-16,0.0,1.624654747581324e-16,,,0.0,2.413495752075678e-16,0.0,1.114008446851055e-16,1.1102230246251565e-16,1.2565385570585918e-16,0.0,8.826758931409284e-17,0.0,1.2503499372203192e-16,0.0,1.7339154319789177e-16,0.0,0.0,-0.0015117616173976611,0.20722672870071776,-0.0011215627767209857,0.20195031496569466,-1.1102230246251565e-16,2.873085417782805e-16,-2.220446049250313e-16,2.408735009538464e-16,-0.02170077804278303,0.12807588003794718,,,-0.012825347516394525,0.07501070700657263,0.024763404350235753,0.16954840187588338
RHxH,,,,,,,0.0,,,,-5.551115123125783e-17,1.073324277957655e-16,0.0,1.2669627060505747e-16,,,5.551115123125783e-17,1.2244531676038502e-16,0.0,0.0,-0.0015117616173976611,0.20286685978247648,-0.001121562776720958,0.2267423435411982,0.0,0.0,0.0,3.861747096629412e-17,-0.009817717439457006,0.09252012931216012,,,-0.04924697020179887,0.12125801934730102,-0.014960521086245682,0.19431345105150996,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,8.374405611253276e-17,0.0,1.0665071456088917e-16,,,,,0.0,0.0,,,-0.001121562776720958,0.15832713327769604,,,0.0,0.0,-0.006095743340499435,0.08962250252192444,,,-0.03913880222458969,0.06512667530282254,-0.005169012869463668,0.18158763709623552,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.1860164175252424e-16,0.0,1.2256335724347045e-16,0.0,5.442241884775545e-17,0.0,5.1063131510800227e-17,0.0,0.0,-0.0015117616173976611,0.20722672870071776,-0.0011215627767209857,0.20195031496569466,0.0,0.0,-8.673617379884035e-18,3.03517072357984e-17,-0.0019779427097202608,0.09496706817625529,,,-0.035166974738900396,0.06475330115802015,0.002543878233868452,0.1543465046870771
