[            ST  ST_conf
TEMP  1.000571   0.0425
RH    0.000000   0.0000
CO2   0.000000   0.0000
PPFD  0.000000   0.0000
H     0.000000   0.0000,            S1   S1_conf
TEMP  1.00037  0.062173
RH    0.00000  0.000000
CO2   0.00000  0.000000
PPFD  0.00000  0.000000
H     0.00000  0.000000,                     S2   S2_conf
(TEMP, RH)    0.000402  0.096355
(TEMP, CO2)   0.000402  0.096355
(TEMP, PPFD)  0.000402  0.096355
(TEMP, H)     0.000402  0.096355
(RH, CO2)     0.000000  0.000000
(RH, PPFD)    0.000000  0.000000
(RH, H)       0.000000  0.000000
(CO2, PPFD)   0.000000  0.000000
(CO2, H)      0.000000  0.000000
(PPFD, H)     0.000000  0.000000]
