[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.218921  0.014401
H     0.783181  0.039527,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.000000  0.000000
PPFD  0.215688  0.026812
H     0.781391  0.055006,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  0.000000e+00
(TEMP, PPFD)  2.775558e-17  5.863132e-17
(TEMP, H)     0.000000e+00  1.630129e-16
(RH, CO2)     0.000000e+00  0.000000e+00
(RH, PPFD)    2.775558e-17  5.863132e-17
(RH, H)       0.000000e+00  1.630129e-16
(CO2, PPFD)   2.775558e-17  5.863132e-17
(CO2, H)      0.000000e+00  1.630129e-16
(PPFD, H)     2.557563e-03  4.961151e-02]
