[            ST   ST_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.130558  0.009820
PPFD  0.514857  0.031969
H     0.371383  0.027625,             S1   S1_conf
TEMP  0.000000  0.000000
RH    0.000000  0.000000
CO2   0.123290  0.020776
PPFD  0.501857  0.044573
H     0.355874  0.038239,                         S2       S2_conf
(TEMP, RH)    0.000000e+00  0.000000e+00
(TEMP, CO2)   0.000000e+00  5.005283e-17
(TEMP, PPFD)  0.000000e+00  1.406132e-16
(TEMP, H)     5.551115e-17  7.495722e-17
(RH, CO2)     0.000000e+00  5.005283e-17
(RH, PPFD)    0.000000e+00  1.406132e-16
(RH, H)       5.551115e-17  7.495722e-17
(CO2, PPFD)   4.761511e-03  3.988854e-02
(CO2, H)      4.106684e-03  3.873951e-02
(PPFD, H)     1.124753e-02  7.660305e-02]
